dataset,ablation_key,module_setting,purpose,uses_motion_prediction,uses_structure,uses_density_scale_fusion,uses_asr,score_mode,scale_mode,structure_radii,density_direction,density_lambda,asr_density_gain,split_for_tracks,split_for_eval,IoU-HOTA,IoU-IDF1,IoU-MOTA,delta_HOTA_vs_nearest,delta_IDF1_vs_nearest,delta_MOTA_vs_nearest,delta_HOTA_vs_motion_only,delta_IDF1_vs_motion_only,delta_MOTA_vs_motion_only,delta_HOTA_vs_structure_only,delta_IDF1_vs_structure_only,delta_MOTA_vs_structure_only
IR-DMSTrack-v3,nearest_no_module,Nearest / no module,baseline association by last-position nearest neighbor,no,no,no,no,last_distance,n/a,n/a,n/a,n/a,n/a,test,test,0.437695,0.394102,0.521706,0.000000,0.000000,0.000000,0.018378,0.016257,0.050372,0.018461,0.020302,0.008888
IR-DMSTrack-v3,motion_only,Motion only,motion prediction distance only,yes,no,no,no,distance,n/a,n/a,n/a,n/a,n/a,test,test,0.419317,0.377846,0.471334,-0.018378,-0.016257,-0.050372,0.000000,0.000000,0.000000,0.000083,0.004045,-0.041484
IR-DMSTrack-v3,structure_only,Structure only,selected density-guided multi-scale structure branch only,no,yes,yes,no,structure_zscore,learned_density,"10,15,20",normal,0.5,n/a,test,test,0.419234,0.373801,0.512819,-0.018461,-0.020302,-0.008888,-0.000083,-0.004045,0.041484,0.000000,0.000000,0.000000
IR-DMSTrack-v3,final_motion_structure,Final motion + structure,released ambiguity-rerank motion-structure association with selected structure branch,yes,yes,yes,yes,ambiguity_rerank,learned_density,"10,15,20",normal,0.5,0.0,test,test,0.437860,0.395256,0.523635,0.000165,0.001153,0.001928,0.018543,0.017410,0.052300,0.018626,0.021455,0.010816
GMOT-40-small-target,nearest_no_module,Nearest / no module,baseline association by last-position nearest neighbor,no,no,no,no,last_distance,n/a,n/a,n/a,n/a,n/a,test,test,0.359946,0.279458,0.233655,0.000000,0.000000,0.000000,0.016935,0.015696,0.009781,0.037106,0.025441,0.005707
GMOT-40-small-target,motion_only,Motion only,motion prediction distance only,yes,no,no,no,distance,n/a,n/a,n/a,n/a,n/a,test,test,0.343010,0.263761,0.223874,-0.016935,-0.015696,-0.009781,0.000000,0.000000,0.000000,0.020171,0.009745,-0.004073
GMOT-40-small-target,structure_only,Structure only,selected density-guided multi-scale structure branch only,no,yes,yes,no,structure_zscore,learned_density,"10,15,20",normal,0.5,n/a,test,test,0.322840,0.254017,0.227947,-0.037106,-0.025441,-0.005707,-0.020171,-0.009745,0.004073,0.000000,0.000000,0.000000
GMOT-40-small-target,final_motion_structure,Final motion + structure,released ambiguity-rerank motion-structure association with selected structure branch,yes,yes,yes,yes,ambiguity_rerank,learned_density,"10,15,20",normal,0.5,0.0,test,test,0.362329,0.281197,0.233448,0.002383,0.001740,-0.000207,0.019319,0.017436,0.009574,0.039489,0.027181,0.005500
